oeuvre_id;auteur;titre;genre;date
1;1;les carnets du sous-sol;roman;1864
2;1;les nuits blanches;roman;1848
3;6;Nicomède;Théâtre;1651
4;9;la parole en archipel;poésie;1962
5;7;Thérèse desqueyroux;roman;1927
6;7;Le Sagouin;roman;1947
7;8;L'adieu aux armes;roman;1938
8;3;A l'ombre des jeunes filles en fleurs;roman;1918
9;10;Indiana;roman;1832
10;10;La mare au diable;roman;1846
11;11;madame Bovary;roman;1856
12;11;l'éducation sentimentale;roman;1869
13;12;Romances sans paroles;poésie;1874
