id;name;latitude;longitude;country;population
1;Paris;48.8534;2.3488;FR;2175601
2;Moscou;55.757;37.6191;RU;11920000
3;Seoul;37.566;126.97;KR;9776000
4;Andorra la vella;42.506;1.5218;AD;22256
5;Maseru;-29.31;27.48;LS;330760
6;Pekin;39.9042;116.407;CN;21500000
7;Abu Dhabi;24.4816;54.3728;AE;1450000
8;Ottawa;45.38555;-75.6960;CA;994837
9;Tirana;41.3275;19.8186;AL;895160
10;Kaboul;34.5333;69.16666;AF;4435000
11;The valley;18.2205;-63.0686;AI;1067
12;ST John's;47.5605;-52.7128;


